hour,plug,value
105,3,14.722999999999997
105,5,4907.401999999958
105,6,3795.769999999994
105,7,37501.93700000007
105,9,5657.892000000058
105,11,34319.854000000036
106,3,8.703999999999999
106,5,4919.0109999999495
106,6,3820.015000000001
106,7,37351.337999999945
106,9,5727.01900000005
106,11,34185.62000000004
107,3,6.65
107,5,4917.799999999954
107,6,3821.2670000000035
107,7,37351.689000000064
107,9,5728.337000000046
107,11,34271.198000000055
108,3,7.344
108,5,4931.523999999958
108,6,3828.715999999997
108,7,37585.45899999998
108,9,5730.884000000053
108,11,34422.23400000005
109,3,11.046999999999999
109,5,4754.728999999952
109,6,3688.5710000000013
109,7,36976.73900000008
109,9,5714.432000000052
109,11,33827.69900000011
110,3,8.014
110,5,3405.05899999998
110,6,2646.9560000000006
110,7,26385.562000000005
110,9,4130.947999999996
110,11,24122.008000000045
111,3,11.731999999999996
111,5,4295.45099999996
111,6,3322.7510000000034
111,7,34955.23699999998
111,9,5695.198000000049
111,11,32077.114000000067
112,0,1808.5749999999996
112,3,14.919
112,5,4749.146999999956
112,6,3673.8730000000055
112,7,36923.572
112,8,7148.414999999999
112,9,5613.799000000041
112,11,33800.0370000001
113,3,10.532999999999998
113,5,4812.186999999957
113,6,3747.095000000005
113,7,37363.99600000012
113,9,5703.578000000057
113,11,34447.005000000056
114,0,60639.459
114,3,6.103
114,4,48711.58999999999
114,5,4838.1909999999525
114,6,3749.7689999999984
114,7,36365.477
114,8,240668.79300000035
114,9,5719.099000000053
114,11,33239.85399999998
115,0,14808.746999999996
115,3,3.718
115,4,55893.921000000046
115,5,4697.264999999954
115,6,3644.0910000000035
115,7,36404.15300000004
115,8,58517.022999999965
115,9,5768.278000000043
115,11,33291.72900000005
116,3,2.4909999999999997
116,5,4836.5969999999525
116,6,3765.434999999998
116,7,37158.871999999974
116,9,5771.499000000052
116,11,34029.74600000005
117,3,3.0269999999999997
117,5,4842.661999999954
117,6,3767.050000000005
117,7,66951.28899999999
117,9,5761.539000000062
117,11,61904.79200000005
118,3,1.902
118,5,4771.476999999961
118,6,3714.546000000003
118,7,37695.154000000024
118,9,5783.730000000041
118,11,34503.03100000003
119,3,4.269
119,5,4799.293999999963
119,6,3733.8850000000057
119,7,37531.41599999996
119,9,5775.906000000047
119,11,34636.09900000006
120,3,2.632
